Date,Open,High,Low,Close,Volume
2010-03-17,41.07635369488493,41.714577547142746,40.93535186999979,41.32125473022461,1992300
2010-03-18,41.15800073614602,42.159865072861116,41.02441882458401,41.98917770385742,2114600
2010-03-19,42.47895705916212,42.805488893927816,41.84073330083333,42.003997802734375,3059500
2010-03-22,41.8258999532174,42.041115516521714,41.66263258368113,41.72942352294922,1451200
2010-03-23,41.61068960301134,41.92238163563344,41.38063126538466,41.87785339355469,1303900
2010-03-24,41.855580769596436,41.87042068247485,41.35835875925173,41.64778518676758,1293800
2010-03-25,41.877852769958196,42.13759376747169,41.23220883973569,41.29899978637695,1779900
2010-03-26,41.29156876831681,41.536469800849886,41.002142334206056,41.232200622558594,1545600
2010-03-29,41.343523719294645,42.13017230373802,41.343523719294645,41.62553024291992,1279500
2010-03-30,41.566164124008935,41.892698925696756,41.41031951282054,41.72201156616211,1372800
2010-03-31,41.43257067126496,41.64778337018199,41.291566026394996,41.447410583496094,1376400
2010-04-01,41.54389023355631,41.72942029149339,40.942771826693104,41.32125473022461,1178800
2010-04-05,41.543893826079696,41.67747570582306,41.1431481868496,41.30641555786133,1094800
2010-04-06,40.99473902244554,41.3212710341055,40.80920889130497,41.02442169189453,1574400
2010-04-07,41.13572550243225,41.31383277630632,40.79435086837022,40.92793273925781,2051300
2010-04-08,40.79436039969563,41.35095071478277,40.653355708056125,41.26189422607422,1837700
2010-04-09,41.37320777652213,42.07079985710466,41.34352228433623,41.89269256591797,2885200
2010-04-12,42.74614418149404,42.74614418149404,41.885284423828125,41.885284423828125,3151600
2010-04-13,41.7665275449988,42.10048222993556,41.491943840034864,41.996585845947266,1647900
2010-04-14,41.92979480642261,42.90197336886906,41.92237484942623,42.85002517700195,1980200
2010-04-15,43.05039456368522,44.349105004407356,42.93907822448749,43.73314666748047,3466500
2010-04-16,43.673772442139274,43.74798616038545,42.92423228911819,43.32497787475586,2157300
2010-04-19,43.08750496771332,43.681200632296445,43.08750496771332,43.51051330566406,1601300
2010-04-20,43.725724008070294,44.015153285148436,43.39919211544802,43.71088409423828,1480200
2010-04-21,42.30087146759033,45.46972656461512,42.293451507694414,44.5272331237793,5813800
2010-04-22,44.60885266415669,46.12277878878616,44.16357877581397,45.610713958740234,4289700
2010-04-23,45.69235672052119,45.81851867144363,45.23966278473963,45.69977951049805,2183800
2010-04-26,45.64041351317328,45.79625814817685,45.29161595114747,45.380672454833984,1454600
2010-04-27,45.32129589460169,45.61814520855685,44.57917544067867,44.72760009765625,2987300
2010-04-28,45.269341998121504,45.29160470303161,44.772122715365754,44.94281005859375,1778100
2010-04-29,45.17287677719734,45.61072801194444,45.12835135631929,45.380672454833984,1554200
2010-04-30,45.20255298801798,45.72945778719248,44.74985909569791,44.76470184326172,1720800
2010-05-03,44.85374937539953,45.92982436369848,44.690484836411535,45.84077072143555,1788500
2010-05-04,45.59587464334217,45.6255601376581,44.61627597863304,45.04670715332031,1978200
2010-05-05,44.97249304628931,45.65524525509682,44.75728029168678,45.05412673950195,2088900
2010-05-06,45.07639452156925,45.44745472305052,42.486393069605526,43.90384292602539,2987400
2010-05-07,43.89642694981825,44.0967969855464,42.7461379561026,42.91682815551758,3390400
2010-05-10,44.87601576688273,45.0318603515625,43.78509801219572,45.0318603515625,2630700
2010-05-11,44.504955614237005,45.52165963981629,44.504955614237005,45.0318603515625,1817300
2010-05-12,45.031863882395214,45.640402353971005,44.890862032481394,45.43260955810547,1350000
2010-05-13,45.01700900288097,45.543913639513704,44.94279811891942,44.97248077392578,1650700
2010-05-14,44.51237669597335,44.71274952317884,43.83704731433902,44.23779296875,1955900
2010-05-17,44.43073569542753,44.78695305262662,43.50308544304534,44.34910202026367,1547800
2010-05-18,44.60142807142091,44.98733095998819,43.78509688892828,43.9483642578125,1087900
2010-05-19,43.78510493792439,44.31200975859329,43.25077732768845,44.03742599487305,1890100
2010-05-20,43.30272259697146,43.6292573726434,42.27117573229415,42.323123931884766,2573200
2010-05-21,41.78137617758205,43.22109150419373,41.75169068341253,43.17656326293945,2885300
2010-05-24,42.983601690126974,43.324979142117726,42.53091073492048,42.545753479003906,1126800
2010-05-25,41.97432468330863,42.6644967805013,41.269309840578416,42.59770584106445,1750000
2010-05-26,42.60514058697381,43.27305021317964,42.43445320049126,42.56803512573242,1453100
2010-05-27,43.169128611380806,43.584716922660064,42.87970220017144,43.56245422363281,1271000
2010-05-28,43.56246969609538,43.58473240302987,42.65708186789566,43.12461853027344,1363500
2010-06-01,42.93165965095041,43.31014260188253,42.30827846497195,42.3602294921875,1169300
2010-06-02,42.11425438583537,43.32177734375,42.11425438583537,43.32177734375,1325300
2010-06-03,43.47831216184043,43.76901188194629,42.79255642416396,43.262149810791016,1445800
2010-06-04,42.61366695713587,42.65839108902823,41.495589250594584,41.667030334472656,1844200
2010-06-07,41.689375116800846,41.87572133032368,40.73528341345758,40.8023681640625,2186900
2010-06-08,40.77256492310493,41.06326465276902,40.1688019775898,40.906734466552734,1777200
2010-06-09,40.92908640384874,41.92790232406086,40.89181772602204,41.018531799316406,1708800
