Date,Open,High,Low,Close,Volume
2010-01-04,17.97368181016586,18.198352006754362,17.923753733754243,18.09849739074707,3822190
2010-01-05,18.023612620238353,18.103497875599537,17.79395077146332,17.91876792907715,3251863
2010-01-06,17.918767869621462,17.96370130854146,17.669133555222103,17.788957595825195,4220644
2010-01-07,17.79893688349161,18.223314781648007,17.689097572643043,17.96868896484375,5109864
2010-01-08,17.88880531462502,18.31318321382016,17.80393004214919,18.278234481811523,3970340
2010-01-11,18.4080436180221,18.902320488555663,18.343139272969353,18.727575302124023,5473459
2010-01-12,18.532866239174194,18.587785907780955,18.193363531794354,18.333158493041992,4040703
2010-01-13,18.363103256854597,18.398051973572425,18.18336656035854,18.313175201416016,3737141
2010-01-14,18.273241969330137,18.487927465497826,18.233300124271985,18.46795654296875,2512246
2010-01-15,18.482937780430078,18.60276180102366,18.338149717838746,18.50290870666504,4333935
2010-01-19,18.462964878156402,18.88235121057249,18.42801614518973,18.717592239379883,7963596
2010-01-20,18.577797535795444,18.612746269191565,18.198353046911837,18.592775344848633,6475485
2010-01-21,18.667662898309942,18.692625397076693,18.253269743260898,18.308189392089844,6810677
2010-01-22,18.26824648294242,18.3631079684368,17.58924135236469,17.594234466552734,5251235
2010-01-25,17.739021035938666,17.868831236525185,17.47440752098503,17.479400634765625,4863593
2010-01-26,17.414502237618567,17.52434155733073,17.065013353369316,17.354589462280273,6158529
2010-01-27,17.214794036109357,17.224778729975114,16.570735945694487,16.915231704711914,9451545
2010-01-28,16.930213981383456,16.975148957676723,16.356054743786665,16.620668411254883,5878530
2010-01-29,16.675585048479732,16.785424374072416,16.20127900949461,16.20627212524414,6614920
2010-02-01,16.505832072947364,16.655613242996555,16.291146548845436,16.490854263305664,7360024
2010-02-02,16.63065063451451,17.369568780603696,16.550766927124876,17.21978759765625,8241335
2010-02-03,17.094969799381058,17.399525269467635,17.04005013686894,17.2447509765625,3454722
2010-02-04,17.11493855403185,17.11493855403185,16.48086672613548,16.505830764770508,4789357
2010-02-05,16.465883626775405,16.52080326467262,15.93665816493095,16.43093490600586,8452586
2010-02-08,16.386002794881062,16.725505339351077,16.131375502324648,16.415958404541016,3634179
2010-02-09,16.980132419218013,17.429474242566968,16.710527325208638,16.755460739135742,7150065
2010-02-10,16.745481940750206,16.96516058431417,16.570736726924626,16.670591354370117,6059279
2010-02-11,16.665592407130315,17.01008806184232,16.5158112867819,16.96515464782715,6718527
2010-02-12,15.499274474537701,15.829472520860568,15.069017254171005,15.639359474182129,28063985
2010-02-16,15.72942134684334,16.00458652539549,15.604346545681215,15.949553489685059,6080420
2010-02-17,15.979568652057976,16.409826029404027,15.844487023827595,16.27474594116211,6865224
2010-02-18,16.259732888159117,16.71000387846615,16.15967369474969,16.629955291748047,5582715
2010-02-19,16.55991660458229,16.800060869068275,16.459855852717933,16.68999481201172,4053936
2010-02-22,16.72501472234763,16.810065201519393,16.614948671660223,16.64496612548828,4524044
2010-02-23,16.51988911860916,16.639960457706753,16.14966825806514,16.26473617553711,7784622
2010-02-24,16.294753537271085,16.344783128564206,15.984567607272874,16.209701538085938,7114722
2010-02-25,15.989573092004592,16.064618265851337,15.744426961427722,16.00458335876465,8452263
2010-02-26,16.00458672253884,16.034604182391124,15.80446673021664,15.96456241607666,5886599
2010-03-01,15.979565459310463,16.424831475275234,15.969558616261727,16.35478973388672,7218814
2010-03-02,16.484871657039328,16.4998803850325,16.32477599179796,16.424835205078125,9021299
2010-03-03,16.50988075286164,17.0351952664517,16.499873911466608,16.83507537841797,8011042
2010-03-04,16.985167018231486,17.02018788907391,16.514885432643393,16.599937438964844,9427822
2010-03-05,16.765036830597722,17.07021937127534,16.7400212623501,16.980165481567383,5328376
2010-03-08,16.975164564203094,17.085230616749143,16.8250742125515,17.02519416809082,3799274
2010-03-09,16.87009702104522,17.180282938796633,16.85508829824866,16.930131912231445,4374281
2010-03-10,16.93514036192948,17.040202992690958,16.785050009419695,16.95515251159668,3669522
2010-03-11,16.895118141684957,17.39041544192479,16.805064227094864,17.370403289794922,7975699
2010-03-12,17.34538677033411,17.510485861425884,17.260336283403877,17.415430068969727,8962232
2010-03-15,17.280337462555952,17.550499020083357,17.210295748380798,17.480457305908203,4917011
